,D,2019-12-03,475919,hydroxytamoxifen,T,96727,4-hydroxytamoxifen,,,,,,N,,,,,,
,A,2019-12-03,,,,,,16601,afimoxifene,T,96727,4-hydroxytamoxifen,N,,,,CH,,
,M,2019-12-03,475919,hydroxytamoxifen,T,96727,4-hydroxytamoxifen,16601,afimoxifene,T,96727,4-hydroxytamoxifen,N,,,,,Relocated CHEM UI,
,D,2019-12-03,475919,hydroxytamoxifen,P,547090,hydroxytamoxifen,,,,,,N,,,,,,
,A,2019-12-03,,,,,,16601,afimoxifene,T,547090,hydroxytamoxifen,N,,,,CH,,
,M,2019-12-03,475919,hydroxytamoxifen,P,547090,hydroxytamoxifen,16601,afimoxifene,T,547090,hydroxytamoxifen,N,,,,,Relocated CHEM UI,
,D,2019-12-03,475919,hydroxytamoxifen,T,649069,4-OHT hydrotamoxifen,,,,,,N,,,,,,
,A,2019-12-03,,,,,,16601,afimoxifene,T,649069,4-OHT hydrotamoxifen,N,,,,CH,,
,M,2019-12-03,475919,hydroxytamoxifen,T,649069,4-OHT hydrotamoxifen,16601,afimoxifene,T,649069,4-OHT hydrotamoxifen,N,,,,,Relocated CHEM UI,
,D,2019-12-03,475919,hydroxytamoxifen,T,853684,4OH-tamoxifen,,,,,,N,,,,,,
,A,2019-12-03,,,,,,16601,afimoxifene,T,853684,4OH-tamoxifen,N,,,,CH,,
,M,2019-12-03,475919,hydroxytamoxifen,T,853684,4OH-tamoxifen,16601,afimoxifene,T,853684,4OH-tamoxifen,N,,,,,Relocated CHEM UI,
,D,2019-12-03,22507,pyruvate dehydrogenase (acetyl-transferring) kinase,T,706248,"Pdk4 protein, mouse",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631439,"Pdk4 protein, mouse",P,706248,"Pdk4 protein, mouse",N,,,,CH,,
,M,2019-12-03,22507,pyruvate dehydrogenase (acetyl-transferring) kinase,T,706248,"Pdk4 protein, mouse",631439,"Pdk4 protein, mouse",P,706248,"Pdk4 protein, mouse",N,,,,,Relocated CHEM UI,
,D,2019-12-03,22507,pyruvate dehydrogenase (acetyl-transferring) kinase,T,706249,"pyruvate dehydrogenase kinase, isoenzyme 4, mouse",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631439,"Pdk4 protein, mouse",T,706249,"pyruvate dehydrogenase kinase, isoenzyme 4, mouse",N,,,,CH,,
,M,2019-12-03,22507,pyruvate dehydrogenase (acetyl-transferring) kinase,T,706249,"pyruvate dehydrogenase kinase, isoenzyme 4, mouse",631439,"Pdk4 protein, mouse",T,706249,"pyruvate dehydrogenase kinase, isoenzyme 4, mouse",N,,,,,Relocated CHEM UI,
,D,2019-12-03,96109,myosin VIIa,T,748775,"myosin 7a, Drosophila",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631458,"myosin 7a, Drosophila",P,748775,"myosin 7a, Drosophila",N,,,,CH,,
,M,2019-12-03,96109,myosin VIIa,T,748775,"myosin 7a, Drosophila",631458,"myosin 7a, Drosophila",P,748775,"myosin 7a, Drosophila",N,,,,,Relocated CHEM UI,
,D,2019-12-03,22507,pyruvate dehydrogenase (acetyl-transferring) kinase,T,706256,"Pdk4 protein, rat",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631440,"Pdk4 protein, rat",P,706256,"Pdk4 protein, rat",N,,,,CH,,
,M,2019-12-03,22507,pyruvate dehydrogenase (acetyl-transferring) kinase,T,706256,"Pdk4 protein, rat",631440,"Pdk4 protein, rat",P,706256,"Pdk4 protein, rat",N,,,,,Relocated CHEM UI,
,D,2019-12-03,22507,pyruvate dehydrogenase (acetyl-transferring) kinase,T,706257,"pyruvate dehydrogenase kinase, isoenzyme 4, rat",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631440,"Pdk4 protein, rat",T,706257,"pyruvate dehydrogenase kinase, isoenzyme 4, rat",N,,,,CH,,
,M,2019-12-03,22507,pyruvate dehydrogenase (acetyl-transferring) kinase,T,706257,"pyruvate dehydrogenase kinase, isoenzyme 4, rat",631440,"Pdk4 protein, rat",T,706257,"pyruvate dehydrogenase kinase, isoenzyme 4, rat",N,,,,,Relocated CHEM UI,
,D,2019-12-03,99849,cyclophilin D,T,578644,"CPR6 protein, S cerevisiae",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631444,"CPR6 protein, S cerevisiae",P,578644,"CPR6 protein, S cerevisiae",N,,,,CH,,
,M,2019-12-03,99849,cyclophilin D,T,578644,"CPR6 protein, S cerevisiae",631444,"CPR6 protein, S cerevisiae",P,578644,"CPR6 protein, S cerevisiae",N,,,,,Relocated CHEM UI,
,D,2019-12-03,99849,cyclophilin D,T,602570,"YLR216C protein, S cerevisiae",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631444,"CPR6 protein, S cerevisiae",T,602570,"YLR216C protein, S cerevisiae",N,,,,CH,,
,M,2019-12-03,99849,cyclophilin D,T,602570,"YLR216C protein, S cerevisiae",631444,"CPR6 protein, S cerevisiae",T,602570,"YLR216C protein, S cerevisiae",N,,,,,Relocated CHEM UI,
,D,2019-12-03,99849,cyclophilin D,T,578645,"CPR7 protein, S cerevisiae",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631445,"CPR7 protein, S cerevisiae",P,578645,"CPR7 protein, S cerevisiae",N,,,,CH,,
,M,2019-12-03,99849,cyclophilin D,T,578645,"CPR7 protein, S cerevisiae",631445,"CPR7 protein, S cerevisiae",P,578645,"CPR7 protein, S cerevisiae",N,,,,,Relocated CHEM UI,
,D,2019-12-03,99849,cyclophilin D,T,602571,"YJR032W protein, S cerevisiae",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631445,"CPR7 protein, S cerevisiae",T,602571,"YJR032W protein, S cerevisiae",N,,,,CH,,
,M,2019-12-03,99849,cyclophilin D,T,602571,"YJR032W protein, S cerevisiae",631445,"CPR7 protein, S cerevisiae",T,602571,"YJR032W protein, S cerevisiae",N,,,,,Relocated CHEM UI,
,D,2019-12-03,96225,germinal center kinases,T,835535,"rabin8 protein, mouse",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631447,"rabin8 protein, mouse",P,835535,"rabin8 protein, mouse",N,,,,CH,,
,M,2019-12-03,96225,germinal center kinases,T,835535,"rabin8 protein, mouse",631447,"rabin8 protein, mouse",P,835535,"rabin8 protein, mouse",N,,,,,Relocated CHEM UI,
,D,2019-12-03,96225,germinal center kinases,T,599075,"MAP4K2 protein, human",,,,,,N,,,,,,
,C,2019-12-03,629007,"Rtfc protein, mouse",P,948795,"Rtfc protein, mouse",629007,"4931414P19Rik protein, mouse",T,948795,"Rtfc protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,629007,"Rtfc protein, mouse",T,948796,"4931414P19Rik protein, mouse",629007,"4931414P19Rik protein, mouse",P,948796,"4931414P19Rik protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,629576,"TMEM20 protein, mouse",P,950710,"TMEM20 protein, mouse",629576,"Slc35g1 protein, mouse",T,950710,"TMEM20 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,629605,"Sws1 protein, mouse",P,950852,"Sws1 protein, mouse",629605,"Zswim7 protein, mouse",T,950852,"Sws1 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,629605,"Sws1 protein, mouse",T,952342,"Zswim7 protein, mouse",629605,"Zswim7 protein, mouse",P,952342,"Zswim7 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,619694,"LJM716 monoclonal antibody, human",P,925893,"LJM716 monoclonal antibody, human",619694,elgemtumab,T,925893,"LJM716 monoclonal antibody, human",N,,,,CH, TERM TYPE,
,C,2019-12-03,621819,BAY 1187982,P,929906,BAY 1187982,621819,aprutumab ixadotin,T,929906,BAY 1187982,N,,,,CH, TERM TYPE,
,C,2019-12-03,81678,IMMU-4 monoclonal antibody,P,794487,IMMU-4 monoclonal antibody,81678,arcitumomab,T,794487,IMMU-4 monoclonal antibody,N,,,,CH, TERM TYPE,
,C,2019-12-03,556019,"KIAA1731 protein, human",P,785956,"KIAA1731 protein, human",556019,"CEP295 protein, human",T,785956,"KIAA1731 protein, human",N,,,,CH, TERM TYPE,
,C,2019-12-03,556019,"KIAA1731 protein, human",T,880441,"CEP295 protein, human",556019,"CEP295 protein, human",P,880441,"CEP295 protein, human",N,,,,CH, TERM TYPE,
,C,2019-12-03,546866,AGT-181,T,946934,valanafusp alpha,546866,valanafusp alpha,P,946934,valanafusp alpha,N,,,,CH, TERM TYPE,
,C,2019-12-03,546866,AGT-181,P,765283,AGT-181,546866,valanafusp alpha,T,765283,AGT-181,N,,,,CH, TERM TYPE,
,C,2019-12-03,520097,"TMEM30C protein, human",P,699179,"TMEM30C protein, human",520097,"TMEM30CP protein, human",T,699179,"TMEM30C protein, human",N,,,,CH, TERM TYPE,
,C,2019-12-03,510249,"TMEM48 protein, human",P,699924,"TMEM48 protein, human",510249,"NDC1 protein, human",T,699924,"TMEM48 protein, human",N,,,,CH, TERM TYPE,
,C,2019-12-03,510249,"TMEM48 protein, human",T,673915,"NDC1 protein, human",510249,"NDC1 protein, human",P,673915,"NDC1 protein, human",N,,,,CH, TERM TYPE,
,C,2019-12-03,557414,anti-IGF-1R antibody A12,T,822069,cixutumumab,557414,cixutumumab,P,822069,cixutumumab,N,,,,CH, TERM TYPE,
,C,2019-12-03,557414,anti-IGF-1R antibody A12,P,788911,anti-IGF-1R antibody A12,557414,cixutumumab,T,788911,anti-IGF-1R antibody A12,N,,,,CH, TERM TYPE,
,C,2019-12-03,569646,SAR 3419,T,926412,coltuximab ravtansine,569646,coltuximab ravtansine,P,926412,coltuximab ravtansine,N,,,,CH, TERM TYPE,
,C,2019-12-03,569646,SAR 3419,P,816976,SAR 3419,569646,coltuximab ravtansine,T,816976,SAR 3419,N,,,,CH, TERM TYPE,
,C,2019-12-03,574488,monoclonal antibody 2021,T,871710,concizumab,574488,concizumab,P,871710,concizumab,N,,,,CH, TERM TYPE,
,C,2019-12-03,574488,monoclonal antibody 2021,P,828489,monoclonal antibody 2021,574488,concizumab,T,828489,monoclonal antibody 2021,N,,,,CH, TERM TYPE,
,C,2019-12-03,601829,REGN1193,P,887555,REGN1193,601829,crotedumab,T,887555,REGN1193,N,,,,CH, TERM TYPE,
,C,2019-12-03,550337,AME 133,T,879066,ocaratuzumab,550337,ocaratuzumab,P,879066,ocaratuzumab,N,,,,CH, TERM TYPE,
,C,2019-12-03,550337,AME 133,P,773228,AME 133,550337,ocaratuzumab,T,773228,AME 133,N,,,,CH, TERM TYPE,
,C,2019-12-03,597368,PF-00547659,P,878932,PF-00547659,597368,ontamalimab,T,878932,PF-00547659,N,,,,CH, TERM TYPE,
,C,2019-12-03,604563,MORAb-004,T,950057,ontuxizumab,604563,ontuxizumab,P,950057,ontuxizumab,N,,,,CH, TERM TYPE,
,C,2019-12-03,604563,MORAb-004,P,894497,MORAb-004,604563,ontuxizumab,T,894497,MORAb-004,N,,,,CH, TERM TYPE,
,C,2019-12-03,570591,tanibirumab,P,819268,tanibirumab,570591,olinvacimab,T,819268,tanibirumab,N,,,,CH, TERM TYPE,
,C,2019-12-03,619415,GDC-0853,P,925369,GDC-0853,619415,fenebrutinib,T,925369,GDC-0853,N,,,,CH, TERM TYPE,
,C,2019-12-03,624282,MM-302,P,935251,MM-302,624282,gancotamab,T,935251,MM-302,N,,,,CH, TERM TYPE,
,C,2019-12-03,574067,MNRP1685A,P,827372,MNRP1685A,574067,vesencumab,T,827372,MNRP1685A,N,,,,CH, TERM TYPE,
,C,2019-12-03,573866,MFGR1877A,P,826875,MFGR1877A,573866,vofatamab,T,826875,MFGR1877A,N,,,,CH, TERM TYPE,
,C,2019-12-03,629677,REMD-477,P,951112,REMD-477,629677,volagidemab,T,951112,REMD-477,N,,,,CH, TERM TYPE,
,C,2019-12-03,517895,"Gprk5 protein, mouse",P,693452,"Gprk5 protein, mouse",517895,"Grk5 protein, mouse",T,693452,"Gprk5 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,517895,"Gprk5 protein, mouse",T,693455,"Grk5 protein, mouse",517895,"Grk5 protein, mouse",P,693455,"Grk5 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,527026,"Ncr3 protein, mouse",P,715636,"Ncr3 protein, mouse",527026,"Ncr3-ps protein, mouse",T,715636,"Ncr3 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,520306,"Sh3md4 protein, mouse",P,699704,"Sh3md4 protein, mouse",520306,"Sh3rf3 protein, mouse",T,699704,"Sh3md4 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,521225,"Fam65a protein, mouse",P,862003,"Fam65a protein, mouse",521225,"Ripor1 protein, mouse",T,862003,"Fam65a protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,425068,"Mfi2 protein, mouse",P,564499,"Mfi2 protein, mouse",425068,"Meltf protein, mouse",T,564499,"Mfi2 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,527074,"Epb4.1l5 protein, mouse",P,715771,"Epb4.1l5 protein, mouse",527074,"EPB41L5 protein, mouse",T,715771,"Epb4.1l5 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,527074,"Epb4.1l5 protein, mouse",T,728604,"EPB41L5 protein, mouse",527074,"EPB41L5 protein, mouse",P,728604,"EPB41L5 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,527300,"Ars2 protein, mouse",P,716266,"Ars2 protein, mouse",527300,"Srrt protein, mouse",T,716266,"Ars2 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,442281,"D17Wsu104e protein, mouse",P,583677,"D17Wsu104e protein, mouse",442281,"Mydgf protein, mouse",T,583677,"D17Wsu104e protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,497423,"Mll protein, mouse",P,613861,"Mll protein, mouse",497423,"Kmt2a protein, mouse",T,613861,"Mll protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,497423,"Mll protein, mouse",T,882103,"Kmt2a protein, mouse",497423,"Kmt2a protein, mouse",P,882103,"Kmt2a protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,497716,"Ear5 protein, mouse",P,650841,"Ear5 protein, mouse",497716,"Rnase2b protein, mouse",T,650841,"Ear5 protein, mouse",N,,,,CH, TERM TYPE,
,C,2019-12-03,498007,"O3far1 protein, mouse",P,799895,"O3far1 protein, mouse",498007,"FFAR4 protein, mouse",T,799895,"O3far1 protein, mouse",N,,,,CH, TERM TYPE,
,M,2019-12-03,31964,ribosomal protein L10,T,130090,L10 ribosomal protein,80882,,T,955276,L10 Ribosomal Protein,Y,80882,955276,L10 Ribosomal Protein,,Relocated to Descriptor TERM UI,
,D,2019-12-03,31964,ribosomal protein L10,P,130092,ribosomal protein L10,,,,,,N,,,,,,
,M,2019-12-03,31964,ribosomal protein L10,P,130092,ribosomal protein L10,80882,,P,955274,Ribosomal Protein L10,Y,80882,955274,Ribosomal Protein L10,,Relocated to Descriptor TERM UI,
,D,2019-12-03,31964,ribosomal protein L10,T,522686,QM tumor suppressor protein,,,,,,N,,,,,,
,M,2019-12-03,31964,ribosomal protein L10,T,522686,QM tumor suppressor protein,80882,,T,955277,QM Tumor Suppressor Protein,Y,80882,955277,QM Tumor Suppressor Protein,,Relocated to Descriptor TERM UI,
,D,2019-12-03,31964,ribosomal protein L10,T,522687,60S ribosomal protein L10,,,,,,N,,,,,,
,M,2019-12-03,31964,ribosomal protein L10,T,522687,60S ribosomal protein L10,80882,,T,955275,60S Ribosomal Protein L10,Y,80882,955275,60S Ribosomal Protein L10,,Relocated to Descriptor TERM UI,
,D,2019-12-03,31964,ribosomal protein L10,T,522688,tumor suppressor QM,,,,,,N,,,,,,
,M,2019-12-03,31964,ribosomal protein L10,T,522688,tumor suppressor QM,80882,,T,955278,Tumor Suppressor QM,Y,80882,955278,Tumor Suppressor QM,,Relocated to Descriptor TERM UI,
,D,2019-12-03,36380,amyrin,P,140881,amyrin,,,,,,Y,36380,696697,beta-amyrin,,,
,M,2019-12-03,36380,amyrin,P,140881,amyrin,,,,,,Y,36380,696697,beta-amyrin,,Deleted terms / Replaced Preffered String,
,D,2019-12-03,40231,heme-binding protein,T,149907,hemin-binding proteins,,,,,,N,,,,,,
,M,2019-12-03,40231,heme-binding protein,T,149907,hemin-binding proteins,,,,,,Y,81062,963139,Heme-Binding Proteins,,Deleted terms / Parent replaced,
,D,2019-12-03,40231,heme-binding protein,P,149908,heme-binding protein,,,,,,N,,,,,,
,M,2019-12-03,40231,heme-binding protein,P,149908,heme-binding protein,81062,,T,957671,Heme-Binding Protein,Y,81062,957671,Heme-Binding Protein,,Relocated to Descriptor TERM UI,
,D,2019-12-03,43595,Ultrafine,P,158192,Ultrafine,,,,,,N,,,,,,
,M,2019-12-03,43595,Ultrafine,P,158192,Ultrafine,,,,,,Y,52638,649314,Particulate Matter,,Deleted terms / Parent replaced,
,D,2019-12-03,50639,pyruvate transport protein,T,174504,pyr translocator,,,,,,N,,,,,,
,M,2019-12-03,50639,pyruvate transport protein,T,174504,pyr translocator,27501,,T,949165,Pyr Translocator,Y,27501,949165,Pyr Translocator,,Relocated to Descriptor TERM UI,
,D,2019-12-03,50639,pyruvate transport protein,T,174505,pyruvate carrier,,,,,,N,,,,,,
,M,2019-12-03,50639,pyruvate transport protein,T,174505,pyruvate carrier,27501,,T,949166,Pyruvate Carrier,Y,27501,949166,Pyruvate Carrier,,Relocated to Descriptor TERM UI,
,D,2019-12-03,50639,pyruvate transport protein,T,174506,pyruvate transporter,,,,,,N,,,,,,
,M,2019-12-03,50639,pyruvate transport protein,T,174506,pyruvate transporter,27501,,T,949168,Pyruvate Transporter,Y,27501,949168,Pyruvate Transporter,,Relocated to Descriptor TERM UI,
,D,2019-12-03,50639,pyruvate transport protein,P,174507,pyruvate transport protein,,,,,,N,,,,,,
,M,2019-12-03,50639,pyruvate transport protein,P,174507,pyruvate transport protein,27501,,T,949167,Pyruvate Transport Protein,Y,27501,949167,Pyruvate Transport Protein,,Relocated to Descriptor TERM UI,
,D,2019-12-03,50639,pyruvate transport protein,T,599875,"Pvruvate transporter of the mitochondrial inner membrane protein, S cerevisiae",,,,,,N,,,,,,
,M,2019-12-03,50639,pyruvate transport protein,T,599875,"Pvruvate transporter of the mitochondrial inner membrane protein, S cerevisiae",,,,,,Y,27501,443645,Monocarboxylic Acid Transporters,,Deleted terms / Parent replaced,
,D,2019-12-03,58289,duocarmycin A,T,717756,duocarmycine,,,,,,Y,58289,192609,duocarmycin A,,,
,M,2019-12-03,58289,duocarmycin A,T,717756,duocarmycine,,,,,,Y,58289,192609,duocarmycin A,,Deleted terms / Replaced Preffered String,
,D,2019-12-03,59654,Melos Conquer Mixture,P,195895,Melos Conquer Mixture,,,,,,N,,,,,,
,M,2019-12-03,59654,Melos Conquer Mixture,P,195895,Melos Conquer Mixture,,,,,,Y,4642,14188,Emodin,,Deleted terms / Parent replaced,
,D,2019-12-03,61471,DNA topoisomerase III,P,200461,DNA topoisomerase III,,,,,,N,,,,,,
,M,2019-12-03,61471,DNA topoisomerase III,P,200461,DNA topoisomerase III,4264,,T,958393,DNA Topoisomerase III,Y,4264,958393,DNA Topoisomerase III,,Relocated to Descriptor TERM UI,
,D,2019-12-03,61471,DNA topoisomerase III,T,200462,TOP3 topoisomerase,,,,,,N,,,,,,
,M,2019-12-03,61471,DNA topoisomerase III,T,200462,TOP3 topoisomerase,4264,,T,958395,TOP3 Topoisomerase,Y,4264,958395,TOP3 Topoisomerase,,Relocated to Descriptor TERM UI,
,D,2019-12-03,61471,DNA topoisomerase III,T,200463,topo III,,,,,,N,,,,,,
,M,2019-12-03,61471,DNA topoisomerase III,T,200463,topo III,4264,,T,958396,Topo III,Y,4264,958396,Topo III,,Relocated to Descriptor TERM UI,
,D,2019-12-03,61471,DNA topoisomerase III,T,200464,topoisomerase III,,,,,,N,,,,,,
,M,2019-12-03,61471,DNA topoisomerase III,T,200464,topoisomerase III,4264,,T,958394,Topoisomerase III,Y,4264,958394,Topoisomerase III,,Relocated to Descriptor TERM UI,
,D,2019-12-03,61471,DNA topoisomerase III,T,464376,topoisomerase III beta,,,,,,N,,,,,,
,D,2019-12-03,61471,DNA topoisomerase III,T,464388,topoisomerase IIIbeta,,,,,,N,,,,,,
,M,2019-12-03,61471,DNA topoisomerase III,T,464376,topoisomerase III beta,4264,,T,958391,Topoisomerase III beta,Y,4264,958391,Topoisomerase III beta,,Relocated to Descriptor TERM UI,
,M,2019-12-03,61471,DNA topoisomerase III,T,464388,topoisomerase IIIbeta,4264,,T,958392,Topoisomerase IIIbeta,Y,4264,958392,Topoisomerase IIIbeta,,Relocated to Descriptor TERM UI,
,D,2019-12-03,61471,DNA topoisomerase III,T,527588,topoisomerase IIIalpha,,,,,,N,,,,,,
,M,2019-12-03,61471,DNA topoisomerase III,T,527588,topoisomerase IIIalpha,4264,,T,958389,Topoisomerase IIIalpha,Y,4264,958389,Topoisomerase IIIalpha,,Relocated to Descriptor TERM UI,
,D,2019-12-03,61471,DNA topoisomerase III,T,527589,TOP3alpha,,,,,,N,,,,,,
,M,2019-12-03,61471,DNA topoisomerase III,T,527589,TOP3alpha,4264,,T,958387,TOP3alpha,Y,4264,958387,TOP3alpha,,Relocated to Descriptor TERM UI,
,D,2019-12-03,61471,DNA topoisomerase III,T,527590,TOPO IIIalpha,,,,,,N,,,,,,
,M,2019-12-03,61471,DNA topoisomerase III,T,527590,TOPO IIIalpha,4264,,T,958388,TOPO IIIalpha,Y,4264,958388,TOPO IIIalpha,,Relocated to Descriptor TERM UI,
,D,2019-12-03,61471,DNA topoisomerase III,T,842949,DNA topoisomerase III beta,,,,,,N,,,,,,
,M,2019-12-03,61471,DNA topoisomerase III,T,842949,DNA topoisomerase III beta,4264,,T,958390,DNA Topoisomerase III beta,Y,4264,958390,DNA Topoisomerase III beta,,Relocated to Descriptor TERM UI,
,A,2019-12-03,,,,,,631450,"MAP4K2 protein, human",P,599075,"MAP4K2 protein, human",N,,,,CH,,
,M,2019-12-03,96225,germinal center kinases,T,599075,"MAP4K2 protein, human",631450,"MAP4K2 protein, human",P,599075,"MAP4K2 protein, human",N,,,,,Relocated CHEM UI,
,D,2019-12-03,96225,germinal center kinases,T,599076,"mitogen-activated protein kinase kinase kinase kinase 2, human",,,,,,N,,,,,,
,D,2019-12-03,96225,germinal center kinases,T,599077,"BL44 protein, human",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631450,"MAP4K2 protein, human",T,599076,"mitogen-activated protein kinase kinase kinase kinase 2, human",N,,,,CH,,
,D,2019-12-03,475919,hydroxytamoxifen,T,96722,4-hydroxy-tamoxifen,,,,,,N,,,,,,
,M,2019-12-03,96225,germinal center kinases,T,599076,"mitogen-activated protein kinase kinase kinase kinase 2, human",631450,"MAP4K2 protein, human",T,599076,"mitogen-activated protein kinase kinase kinase kinase 2, human",N,,,,,Relocated CHEM UI,
,A,2019-12-03,,,,,,631450,"MAP4K2 protein, human",T,599077,"BL44 protein, human",N,,,,CH,,
,M,2019-12-03,96225,germinal center kinases,T,599077,"BL44 protein, human",631450,"MAP4K2 protein, human",T,599077,"BL44 protein, human",N,,,,,Relocated CHEM UI,
,D,2019-12-03,96225,germinal center kinases,T,599078,"GC kinase protein, human",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631450,"MAP4K2 protein, human",T,599078,"GC kinase protein, human",N,,,,CH,,
,M,2019-12-03,96225,germinal center kinases,T,599078,"GC kinase protein, human",631450,"MAP4K2 protein, human",T,599078,"GC kinase protein, human",N,,,,,Relocated CHEM UI,
,D,2019-12-03,96225,germinal center kinases,T,599079,"germinal centre kinase protein, human",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631450,"MAP4K2 protein, human",T,599079,"germinal centre kinase protein, human",N,,,,CH,,
,M,2019-12-03,96225,germinal center kinases,T,599079,"germinal centre kinase protein, human",631450,"MAP4K2 protein, human",T,599079,"germinal centre kinase protein, human",N,,,,,Relocated CHEM UI,
,D,2019-12-03,96225,germinal center kinases,T,599080,"GCK protein, human",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631450,"MAP4K2 protein, human",T,599080,"GCK protein, human",N,,,,CH,,
,M,2019-12-03,96225,germinal center kinases,T,599080,"GCK protein, human",631450,"MAP4K2 protein, human",T,599080,"GCK protein, human",N,,,,,Relocated CHEM UI,
,D,2019-12-03,96225,germinal center kinases,T,599081,"Rab8 interacting protein, human",,,,,,N,,,,,,
,A,2019-12-03,,,,,,631450,"MAP4K2 protein, human",T,599081,"Rab8 interacting protein, human",N,,,,CH,,
,M,2019-12-03,96225,germinal center kinases,T,599081,"Rab8 interacting protein, human",631450,"MAP4K2 protein, human",T,599081,"Rab8 interacting protein, human",N,,,,,Relocated CHEM UI,
,M,2019-12-03,22507,pyruvate dehydrogenase (acetyl-transferring) kinase,T,829311,"PDK1 (pyruvate dehydrogenase kinase, isozyme 1), mouse",631433,"Pdk1 protein, mouse",T,829311,"PDK1 (pyruvate dehydrogenase kinase, isozyme 1), mouse",N,,,,,Relocated CHEM UI,
